value,date
1.136330,23:22:26
1.136330,23:22:26
1.136330,23:22:26
1.136330,23:22:26
1.136330,23:22:26
1.136330,23:22:26
1.136330,23:22:27
1.136330,23:22:27
1.136330,23:22:27
1.136330,23:22:27
1.136330,23:22:27
1.136330,23:22:28
1.136330,23:22:28
1.136330,23:22:28
1.136330,23:22:28
1.136330,23:22:28
1.136330,23:22:29
1.136330,23:22:29
1.136330,23:22:29
1.136330,23:22:29
1.136330,23:22:29
1.136330,23:22:30
1.136330,23:22:30
1.136330,23:22:31
1.136330,23:22:31
1.136330,23:22:32
1.136330,23:22:32
1.136330,23:22:32
1.136330,23:22:32
1.136330,23:22:32
1.136330,23:22:33
1.136330,23:22:33
1.136330,23:22:33
1.136330,23:22:33
1.136330,23:22:33
1.136325,23:22:34
1.136325,23:22:34
1.136325,23:22:34
1.136325,23:22:34
1.136325,23:22:34
1.136325,23:22:35
1.136325,23:22:35
1.136325,23:22:35
1.136325,23:22:35
1.136325,23:22:35
1.136325,23:22:35
1.136320,23:22:36
1.136315,23:22:36
1.136305,23:22:36
1.136305,23:22:36
1.136305,23:22:36
1.136305,23:22:37
1.136305,23:22:37
1.136305,23:22:37
1.136305,23:22:37
1.136305,23:22:37
1.136305,23:22:38
1.136265,23:22:38
1.136250,23:22:38
1.136250,23:22:38
1.136250,23:22:38
1.136250,23:22:38
1.136270,23:22:39
1.136280,23:22:39
1.136280,23:22:39
1.136283,23:22:39
1.136285,23:22:39
1.136282,23:22:40
1.136285,23:22:40
1.136285,23:22:40
1.136285,23:22:40
1.136285,23:22:40
1.136285,23:22:41
1.136280,23:22:41
1.136280,23:22:41
1.136280,23:22:41
1.136280,23:22:41
1.136280,23:22:42
1.136275,23:22:42
1.136275,23:22:42
1.136275,23:22:42
1.136275,23:22:42
1.136275,23:22:42
1.136275,23:22:43
1.136275,23:22:43
1.136275,23:22:43
1.136275,23:22:43
1.136275,23:22:43
1.136275,23:22:44
1.136275,23:22:44
1.136275,23:22:44
1.136275,23:22:44
1.136275,23:22:44
1.136275,23:22:45
1.136275,23:22:45
1.136275,23:22:45
1.136275,23:22:45
1.136275,23:22:45
1.136275,23:22:45
1.136275,23:22:46
1.136275,23:22:46
1.136275,23:22:46
1.136275,23:22:46
1.136275,23:22:46
1.136275,23:22:47
1.136275,23:22:47
1.136275,23:22:47
1.136275,23:22:47
1.136275,23:22:47
1.136260,23:22:48
1.136255,23:22:48
1.136255,23:22:48
1.136255,23:22:48
1.136255,23:22:48
1.136255,23:22:49
1.136255,23:22:49
1.136255,23:22:49
1.136255,23:22:49
1.136255,23:22:49
1.136255,23:22:49
1.136255,23:22:50
1.136255,23:22:50
1.136255,23:22:50
1.136255,23:22:50
1.136255,23:22:50
1.136255,23:22:51
1.136255,23:22:51
1.136255,23:22:51
1.136255,23:22:51
1.136255,23:22:51
1.136255,23:22:52
1.136255,23:22:52
1.136255,23:22:52
1.136255,23:22:52
1.136255,23:22:52
1.136255,23:22:52
1.136255,23:22:53
1.136255,23:22:53
1.136255,23:22:53
1.136255,23:22:53
1.136255,23:22:53
1.136255,23:22:54
1.136255,23:22:54
1.136255,23:22:54
1.136255,23:22:54
1.136255,23:22:54
1.136255,23:22:55
1.136255,23:22:55
1.136255,23:22:55
1.136255,23:22:55
1.136255,23:22:55
1.136255,23:22:56
1.136255,23:22:56
1.136255,23:22:56
1.136255,23:22:56
1.136255,23:22:57
1.136255,23:22:57
1.136255,23:22:57
1.136255,23:22:57
1.136255,23:22:58
1.136255,23:22:58
1.136255,23:22:58
1.136255,23:22:58
1.136255,23:22:58
1.136255,23:22:59
1.136255,23:22:59
1.136255,23:22:59
1.136255,23:22:59
1.136255,23:22:59
1.136255,23:23:00
1.136255,23:23:00
1.136255,23:23:00
1.136255,23:23:00
1.136255,23:23:00
1.136255,23:23:01
1.136255,23:23:01
1.136255,23:23:01
1.136255,23:23:01
1.136255,23:23:01
1.136255,23:23:02
1.136255,23:23:02
1.136255,23:23:02
1.136255,23:23:02
1.136255,23:23:02
1.136255,23:23:03
1.136255,23:23:03
1.136255,23:23:03
1.136267,23:23:03
1.136280,23:23:03
1.136278,23:23:04
1.136280,23:23:04
1.136280,23:23:04
1.136280,23:23:04
1.136280,23:23:04
1.136280,23:23:04
1.136280,23:23:05
1.136280,23:23:05
1.136284,23:23:05
1.136285,23:23:05
1.136285,23:23:05
1.136285,23:23:06
1.136280,23:23:06
1.136280,23:23:06
1.136280,23:23:06
1.136280,23:23:06
1.136280,23:23:07
1.136280,23:23:07
1.136280,23:23:07
1.136280,23:23:07
1.136280,23:23:07
1.136280,23:23:08
1.136280,23:23:08
1.136280,23:23:08
1.136280,23:23:08
1.136280,23:23:08
1.136280,23:23:09
1.136280,23:23:09
1.136280,23:23:09
1.136280,23:23:09
1.136280,23:23:09
1.136280,23:23:09
1.136275,23:23:10
1.136275,23:23:10
1.136275,23:23:10
1.136275,23:23:10
1.136275,23:23:10
1.136275,23:23:11
1.136275,23:23:11
